english_word;polish_words;example;definition;stage
menial;nie wymagający kwalifikacji;a *** job/task;boring and not well paid or respected (about work);3
eczema;wyprysk/egzema;---;a medical condition that makes areas of skin become red and dry;3
deluge;lawina/powódź;They have received a *** of complaints.;a very large amount of something that suddenly arrives;3
stingy;skąpy;He's too *** to buy any drinks.;not generous;3
prone;mieć skłonność do czegoś lub ku czemuś/skłonny;He's *** to forgetting things.;to often do something or suffer from something, especially something bad;3
lavish;wystawny;a *** meal/party;showing that a lot of money has been spent;3
fugitive;uciekinier/zbieg;---;someone who is escaping or hiding from the police or from a dangerous situation;3
candid;szczery;She was very *** about her personal life in the interview.;honest, especially about something that is unpleasant or embarrassing;3
intimidate;zastraszyć/zastraszać;check;to intentionally frighten someone, especially so that they will do what you want;3
insolent;bezczelny/zuchwały;an *** reply;rude and not showing respect;3
ointment;maść;---;a smooth, thick substance that is used on painful or damaged skin;3
scrounge;sępić;He's always ***ing money off you.;to get something from someone else instead of paying for it yourself;3
inferior;gorszy/pośledni;I've never felt *** to anyone.;not good, or not as good as someone or something else;3
belittle;umniejszać;---;to say that someone or something is not very important or not very good;3
hostile;wrogo usposobiony/wrogi;Some politicians were very *** to the idea.;unfriendly and not liking or agreeing with something;3
immense;ogromny;*** pressure/value;extremely big;3
retaliate;brać odwet/zemścić się;They bombed the hotel in ***ion for the arrests.;to do something bad to someone because they have done something bad to you;3
auxiliary;pomocniczy;an *** nurse;providing extra help or support;3
hideous;ohydny;a *** monster;very ugly;3
perplexed;zakłopotany;He seemed a little *** by the question.;confused;3
invaluable;nieoceniony;Her contacts in government proved *** to the company.;extremely useful;3
streamline;usprawniać/usprawnić;We need to *** our production procedures.;to make an organization or process simpler and more effective;3
leverage;wpływ;---;the power to influence people in order to get what you want;3
defer;odkładać/odraczać;The payments can be ***red for three months.;to arrange for something to happen at a later time;3
implore;błagać;[ + to do sth ] I ***d him to let the child go.;to ask for something in a serious and emotional way;3
volition;wola;He left the firm of his own *** (= because he decided to).;the power to make your own decisions;3
wacky;zwariowany;a *** sense of humour;unusual in a funny or surprising way;3
stench;smród;the *** of rotten fruit;a very unpleasant smell;3
flatter;prawić komplementy /schlebiać/pochlebiać;The interviewer ***ed him about his recent work.;to say nice things to someone in order to make them feel attractive or important, sometimes in a way that is not sincere;3
sparse;rzadki/skąpy;*** population/vegetation;existing only in small amounts over a large area;3
alleviate;łagodzić;She's been given some tablets to *** the pain.;to make problems or suffering less extreme;3
blazer;marynarka;---;a type of jacket, often worn as part of a school uniform;3
indispensable;niezastąpiony/niezbędny;an *** tool/guide;completely necessary;3
puny;mizerny;---;very small and weak;3
oar;wiosło;---;a long pole with a wide, flat end that you use to move a boat through water;3
dignified;dostojny/godny;a quiet, *** woman;calm, serious, and behaving in a way that makes people respect you;3
courtyard;dziedziniec;---;an open area by a building with walls or buildings around it;3
